,statistic,Location,Opp,mean,std,max,min,median,n_games,mean_all,std_all,max_all,min_all,median_all,n_games_all
232,3PA,Home,DEN,7.894736842105263,3.247130987367588,16.0,3.0,7.0,19,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
233,3PA,Home,DET,6.666666666666667,2.1794494717703365,10.0,3.0,7.0,9,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
234,3PA,Home,HOU,9.153846153846153,3.8749689825061333,16.0,1.0,9.5,26,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
235,3PA,Home,IND,7.666666666666667,4.301162633521313,15.0,2.0,7.0,9,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
236,3PA,Home,LAC,8.28,3.878573620976316,15.0,1.0,8.0,25,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
237,3PA,Home,LAL,9.266666666666667,3.1274514194392182,16.0,5.0,9.0,15,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
238,3PA,Home,MEM,8.944444444444445,4.165293891505661,19.0,2.0,8.0,18,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
239,3PA,Home,MIA,8.571428571428571,2.878491668515698,11.0,4.0,10.0,7,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
240,3PA,Home,MIL,6.25,3.058944729337694,13.0,4.0,5.5,8,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
241,3PA,Home,MIN,9.466666666666667,3.181793444554427,14.0,2.0,9.0,15,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
242,3PA,Home,NJN,6.0,1.4142135623730951,7.0,5.0,6.0,2,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
243,3PA,Home,NOH,4.4,3.1304951684997055,10.0,3.0,3.0,5,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
244,3PA,Home,NOP,10.76923076923077,3.6091052943411093,17.0,6.0,10.0,13,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
245,3PA,Home,NYK,10.11111111111111,3.2956199888808646,15.0,5.0,10.0,9,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
246,3PA,Home,OKC,8.523809523809524,3.5017002672851314,15.0,2.0,8.0,21,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
247,3PA,Home,ORL,7.571428571428571,3.5050983275386565,13.0,2.0,7.0,7,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
248,3PA,Home,PHI,8.9,3.9846929339382946,18.0,4.0,8.0,10,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
249,3PA,Home,PHO,7.944444444444445,3.842061674218249,16.0,3.0,6.5,18,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
250,3PA,Home,POR,9.619047619047619,3.9934470132479585,15.0,2.0,9.0,21,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
251,3PA,Home,SAC,7.1875,3.6736675589025922,16.0,2.0,6.5,16,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
252,3PA,Home,SAS,8.0,4.013136324359631,16.0,0.0,8.0,20,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
253,3PA,Home,TOR,8.833333333333334,2.6571800956288345,14.0,5.0,8.5,12,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
254,3PA,Home,UTA,7.235294117647059,2.6346112560657287,14.0,4.0,8.0,17,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
255,3PA,Home,WAS,9.88888888888889,3.7896056669673577,16.0,4.0,9.0,9,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
256,AST,Away,ATL,7.4,4.1952353926806065,12.0,0.0,9.0,10,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398
257,AST,Away,BOS,5.666666666666667,1.7320508075688772,8.0,3.0,5.0,9,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398
258,AST,Away,BRK,5.428571428571429,2.1491969707422394,7.0,2.0,7.0,7,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398
259,AST,Away,CHA,5.75,2.753785273643051,9.0,3.0,5.5,4,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398
260,AST,Away,CHI,5.0,3.0413812651491097,11.0,1.0,5.0,9,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398
261,AST,Away,CHO,6.0,0.816496580927726,7.0,5.0,6.0,4,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398
262,AST,Away,CLE,6.055555555555555,2.4608038433722332,11.0,1.0,6.0,18,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398
