,+/-,3P,3P%,3PA,AST,Away,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,G#,GS,GmSc,MP,ORB,Opp,PF,PTS,Result,STL,Season,Series,TOV,TRB,Tm
24,+7,6,.462,13,8,@,0,5,2018-01-03,11,.579,19,4,.800,5,25,1,1,27.4,34:29,0,DAL,1,32,W (+3),1,2017-2018,Regular Season,3,5,GSW
25,+3,4,.400,10,5,@,0,9,2018-01-04,10,.500,20,5,.833,6,26,1,1,21.6,36:51,0,HOU,3,29,W (+10),1,2017-2018,Regular Season,3,9,GSW
26,+28,8,.500,16,3,@,0,4,2018-01-06,11,.524,21,15,.938,16,27,1,1,39.2,29:51,2,LAC,2,45,W (+16),3,2017-2018,Regular Season,2,6,GSW
27,+3,5,.500,10,9,,0,3,2018-01-08,9,.529,17,9,.900,10,28,1,1,26.0,34:50,1,DEN,3,32,W (+10),2,2017-2018,Regular Season,6,4,GSW
28,-5,2,.286,7,9,@,0,6,2018-01-13,6,.500,12,10,.833,12,29,1,1,24.1,34:28,0,TOR,3,24,W (+2),1,2017-2018,Regular Season,1,6,GSW
29,+13,4,.500,8,8,@,0,3,2018-01-15,8,.533,15,3,.750,4,30,1,1,20.3,33:24,1,CLE,3,23,W (+10),2,2017-2018,Regular Season,3,4,GSW
30,+21,6,.545,11,4,@,0,9,2018-01-17,10,.556,18,4,1.000,4,31,1,1,21.1,34:55,0,CHI,2,30,W (+7),1,2017-2018,Regular Season,6,9,GSW
31,-11,5,.333,15,8,@,0,1,2018-01-20,6,.300,20,2,.500,4,32,1,1,7.7,36:11,0,HOU,2,19,L (-8),2,2017-2018,Regular Season,6,1,GSW
32,+4,8,.533,15,7,,0,6,2018-01-23,9,.474,19,6,1.000,6,33,1,1,27.2,33:16,0,NYK,2,32,W (+11),0,2017-2018,Regular Season,1,6,GSW
33,+20,5,.556,9,9,,0,3,2018-01-25,9,.643,14,2,.667,3,34,1,1,27.2,37:26,2,MIN,2,25,W (+13),3,2017-2018,Regular Season,2,5,GSW
34,+6,8,.615,13,5,,0,4,2018-01-27,16,.667,24,9,.900,10,35,1,1,43.1,36:48,0,BOS,2,49,W (+4),2,2017-2018,Regular Season,1,4,GSW
35,-17,1,.143,7,5,@,0,1,2018-01-30,4,.308,13,5,1.000,5,36,1,1,7.6,29:38,1,UTA,1,14,L (-30),0,2017-2018,Regular Season,3,2,GSW
36,+14,3,.300,10,6,@,0,4,2018-02-02,7,.412,17,6,1.000,6,37,1,1,14.8,35:35,1,SAC,3,23,W (+15),2,2017-2018,Regular Season,6,5,GSW
